[2025-01-26 20:04:02] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 20:04:02] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:04:02] User -> Save Data | district user change id ->Ernakulam@pds| 701802A - 1734008| 702801
[2025-01-26 20:04:02] district User -> Save Data | approve district change yes ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:09:57] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:09:57] district User -> Save Data | approve district change yes ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:13:54] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 20:13:54] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734008
[2025-01-26 20:13:54] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734001
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734002
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 701802A - 1734005
[2025-01-26 20:19:34] district User -> Save Data | implemented ->Ernakulam@pds| 702802 - 1734006
[2025-01-26 20:58:57] User -> Read  Message ->Ernakulam@pds| Requested JSON -> {"uid":"1d37fcccc1"} | Ernakulam@pds
[2025-01-26 21:03:47] District_User -> Warehouse added ->Ernakulam@pds| Requested JSON -> {"name":"Test Data","type":"motorable","latitude":"23.333","storage":"100","district":"Ernakulam","id":"11A","warehousetype":"swc","longitude":"78.888"}
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| ABC
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| XYZ
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| XYZ
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| XYZ
[2025-01-26 21:04:30] District User -> Warehouse Edit -> Ernakulam@pds| Test Data
[2025-01-26 21:05:24] District User -> Warehouse deleted -> Ernakulam@pds| Requested JSON -> {"uid":"WH_679655dbe7a0"} | Test Data
[2025-01-26 21:05:33] District User -> Warehouse deleted -> Ernakulam@pds| Requested JSON -> {"uid":"all"} | 
[2025-01-26 21:06:50] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:50] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:50] District User -> Warehouse Added -> Ernakulam@pds| ABC
[2025-01-26 21:06:51] District User -> Warehouse Added -> Ernakulam@pds| ABC
